Run Start Time: Sun Nov 26 21:05:13 2023
[0.65 0.05 0.05 0.25]	[35, 65.52]
[0.05 0.4  0.2  0.35]	[26, 75.23]
[0.1  0.4  0.25 0.25]	[28, 74.75]
[0.45 0.2  0.15 0.2 ]	[33, 68.45]
[0.1  0.55 0.3  0.05]	[32, 73.66]
[0.6 0.1 0.2 0.1]	[37, 66.65]
[0.15 0.55 0.15 0.15]	[31, 72.04]
[0.25 0.05 0.55 0.15]	[25, 67.22]
[0.1  0.15 0.35 0.4 ]	[25, 76.02]
[0.05 0.2  0.25 0.5 ]	[25, 78.05]
[0.3  0.4  0.25 0.05]	[34, 69.87]
[0.5  0.25 0.05 0.2 ]	[34, 67.24]
[0.2  0.2  0.45 0.15]	[28, 71.83]
[0.15 0.7  0.05 0.1 ]	[34, 71.42]
[0.35 0.1  0.15 0.4 ]	[27, 70.0]
[0.1  0.3  0.25 0.35]	[25, 73.9]
[0.35 0.05 0.3  0.3 ]	[28, 71.53]
[0.45 0.35 0.05 0.15]	[36, 67.5]
[0.5  0.05 0.35 0.1 ]	[33, 66.99]
[0.1  0.2  0.55 0.15]	[25, 70.59]
[0.1 0.2 0.5 0.2]	[26, 74.0]
[0.3  0.05 0.5  0.15]	[27, 66.42]
[0.05 0.5  0.4  0.05]	[30, 73.06]
[0.2  0.05 0.05 0.7 ]	[25, 77.65]
[0.1  0.35 0.25 0.3 ]	[27, 73.24]
[0.05 0.25 0.4  0.3 ]	[25, 75.92]
[0.1 0.5 0.3 0.1]	[30, 71.81]
[0.15 0.2  0.25 0.4 ]	[25, 74.75]
[0.15 0.2  0.1  0.55]	[25, 76.01]
[0.05 0.5  0.05 0.4 ]	[26, 75.11]
[0.55 0.05 0.05 0.35]	[30, 65.21]
[0.35 0.25 0.25 0.15]	[32, 71.98]
[0.05 0.1  0.2  0.65]	[25, 78.34]
[0.4  0.1  0.35 0.15]	[31, 71.12]
[0.2  0.15 0.3  0.35]	[26, 73.43]
[0.1 0.2 0.5 0.2]	[26, 73.97]
[0.25 0.4  0.1  0.25]	[29, 70.99]
[0.35 0.45 0.15 0.05]	[36, 67.55]
[0.1  0.15 0.65 0.1 ]	[25, 70.03]
[0.2  0.25 0.15 0.4 ]	[26, 72.58]
[0.05 0.25 0.4  0.3 ]	[25, 75.05]
[0.4  0.1  0.05 0.45]	[27, 67.87]
[0.1  0.05 0.7  0.15]	[25, 68.15]
[0.2  0.25 0.25 0.3 ]	[27, 71.29]
[0.5  0.35 0.1  0.05]	[40, 67.17]
[0.25 0.2  0.25 0.3 ]	[28, 73.84]
[0.1  0.75 0.05 0.1 ]	[32, 69.95]
[0.45 0.2  0.1  0.25]	[32, 68.85]
[0.25 0.05 0.2  0.5 ]	[25, 74.53]
[0.1  0.3  0.45 0.15]	[28, 75.48]
[0.25 0.05 0.25 0.45]	[25, 74.81]
[0.15 0.25 0.35 0.25]	[27, 71.89]
[0.05 0.65 0.25 0.05]	[31, 72.09]
[0.15 0.55 0.2  0.1 ]	[32, 73.1]
[0.5 0.3 0.1 0.1]	[37, 67.32]
[0.8  0.1  0.05 0.05]	[44, 59.79]
[0.1  0.1  0.75 0.05]	[25, 67.43]
[0.25 0.55 0.05 0.15]	[33, 68.91]
[0.15 0.25 0.45 0.15]	[28, 73.8]
[0.35 0.1  0.35 0.2 ]	[30, 70.36]
[0.2  0.5  0.15 0.15]	[31, 71.22]
[0.1  0.45 0.1  0.35]	[27, 71.71]
[0.05 0.5  0.05 0.4 ]	[27, 74.2]
[0.25 0.2  0.05 0.5 ]	[25, 71.29]
[0.2  0.2  0.05 0.55]	[25, 74.15]
[0.15 0.1  0.2  0.55]	[25, 76.95]
[0.3 0.2 0.2 0.3]	[28, 71.67]
[0.2 0.2 0.2 0.4]	[26, 74.13]
[0.05 0.4  0.4  0.15]	[29, 76.84]
[0.4  0.5  0.05 0.05]	[38, 67.25]
[0.05 0.15 0.55 0.25]	[25, 73.54]
[0.2  0.1  0.35 0.35]	[25, 71.83]
[0.2  0.05 0.7  0.05]	[25, 65.97]
[0.15 0.4  0.3  0.15]	[30, 72.58]
[0.6  0.3  0.05 0.05]	[41, 64.51]
[0.05 0.45 0.2  0.3 ]	[28, 76.78]
[0.5 0.2 0.1 0.2]	[34, 68.84]
[0.1  0.45 0.25 0.2 ]	[29, 75.01]
[0.35 0.15 0.35 0.15]	[31, 72.26]
[0.15 0.65 0.05 0.15]	[32, 71.72]
[0.05 0.15 0.45 0.35]	[25, 75.73]
[0.2  0.15 0.4  0.25]	[27, 71.77]
[0.2  0.1  0.45 0.25]	[26, 72.26]
[0.1  0.35 0.05 0.5 ]	[25, 75.28]
[0.2  0.45 0.3  0.05]	[33, 71.31]
[0.2  0.25 0.1  0.45]	[26, 73.54]
[0.45 0.25 0.1  0.2 ]	[33, 66.52]
[0.4  0.05 0.45 0.1 ]	[30, 67.38]
[0.25 0.1  0.55 0.1 ]	[28, 70.69]
[0.2  0.25 0.2  0.35]	[27, 71.51]
[0.1  0.65 0.05 0.2 ]	[31, 73.13]
[0.25 0.15 0.45 0.15]	[29, 74.05]
[0.25 0.2  0.1  0.45]	[26, 71.5]
[0.35 0.2  0.35 0.1 ]	[32, 71.68]
[0.5 0.1 0.3 0.1]	[34, 68.4]
[0.2  0.55 0.1  0.15]	[32, 71.15]
[0.25 0.05 0.1  0.6 ]	[25, 75.48]
[0.05 0.2  0.45 0.3 ]	[25, 75.92]
[0.35 0.25 0.05 0.35]	[29, 71.19]
[5.55111512e-17 4.50000000e-01 2.50000000e-01 3.00000000e-01]	[26, 76.19]
