Run Start Time: Wed Aug 28 13:24:39 2024
[0.45 0.05 0.05 0.45]DP1: 97.41 ;
[0.43333333 0.05       0.1        0.41666667]DP1: 97.97 ;
[0.41666667 0.05       0.15       0.38333333]DP1: 98.03 ;
[0.4  0.05 0.2  0.35]DP1: 98.11 ;
[0.38333333 0.05       0.25       0.31666667]DP1: 97.94 ;
[0.36666667 0.05       0.3        0.28333333]DP1: 97.94 ;
[0.35 0.05 0.35 0.25]DP1: 97.74 ;
[0.33333333 0.05       0.4        0.21666667]DP1: 98.34 ;
[0.31666667 0.05       0.45       0.18333333]DP1: 97.93 ;
[0.3  0.05 0.5  0.15]DP1: 98.75 ;
[0.28333333 0.05       0.55       0.11666667]DP1: 98.38 ;
[0.26666667 0.05       0.6        0.08333333]DP1: 98.64 ;
[0.25 0.05 0.65 0.05]DP1: 99.03 ;
[0.23333333 0.05       0.7        0.01666667]DP1: 99.20 ;
[0.41666667 0.1        0.05       0.43333333]DP1: 97.46 ;
[0.4 0.1 0.1 0.4]DP1: 98.20 ;
[0.38333333 0.1        0.15       0.36666667]DP1: 98.28 ;
[0.36666667 0.1        0.2        0.33333333]DP1: 98.44 ;
[0.35 0.1  0.25 0.3 ]DP1: 98.47 ;
[0.33333333 0.1        0.3        0.26666667]DP1: 98.65 ;
[0.31666667 0.1        0.35       0.23333333]DP1: 98.67 ;
[0.3 0.1 0.4 0.2]DP1: 98.64 ;
[0.28333333 0.1        0.45       0.16666667]DP1: 98.82 ;
[0.26666667 0.1        0.5        0.13333333]DP1: 98.72 ;
[0.25 0.1  0.55 0.1 ]DP1: 98.82 ;
[0.23333333 0.1        0.6        0.06666667]DP1: 99.10 ;
[0.21666667 0.1        0.65       0.03333333]DP1: 99.32 ;
[0.38333333 0.15       0.05       0.41666667]DP1: 97.87 ;
[0.36666667 0.15       0.1        0.38333333]DP1: 98.20 ;
[0.35 0.15 0.15 0.35]DP1: 98.44 ;
[0.33333333 0.15       0.2        0.31666667]DP1: 98.56 ;
[0.31666667 0.15       0.25       0.28333333]DP1: 98.66 ;
[0.3  0.15 0.3  0.25]DP1: 98.79 ;
[0.28333333 0.15       0.35       0.21666667]DP1: 98.76 ;
[0.26666667 0.15       0.4        0.18333333]DP1: 98.79 ;
[0.25 0.15 0.45 0.15]DP1: 98.87 ;
[0.23333333 0.15       0.5        0.11666667]DP1: 98.98 ;
[0.21666667 0.15       0.55       0.08333333]DP1: 98.91 ;
[0.2  0.15 0.6  0.05]DP1: 98.98 ;
[0.18333333 0.15       0.65       0.01666667]DP1: 99.44 ;
[0.35 0.2  0.05 0.4 ]DP1: 98.03 ;
[0.33333333 0.2        0.1        0.36666667]DP1: 98.26 ;
[0.31666667 0.2        0.15       0.33333333]DP1: 98.43 ;
[0.3 0.2 0.2 0.3]DP1: 98.78 ;
[0.28333333 0.2        0.25       0.26666667]DP1: 98.72 ;
[0.26666667 0.2        0.3        0.23333333]DP1: 98.73 ;
[0.25 0.2  0.35 0.2 ]DP1: 98.87 ;
[0.23333333 0.2        0.4        0.16666667]DP1: 98.77 ;
[0.21666667 0.2        0.45       0.13333333]DP1: 98.84 ;
[0.2 0.2 0.5 0.1]DP1: 98.64 ;
[0.18333333 0.2        0.55       0.06666667]DP1: 98.94 ;
[0.16666667 0.2        0.6        0.03333333]DP1: 99.38 ;
[0.31666667 0.25       0.05       0.38333333]DP1: 98.12 ;
[0.3  0.25 0.1  0.35]DP1: 98.34 ;
[0.28333333 0.25       0.15       0.31666667]DP1: 98.46 ;
[0.26666667 0.25       0.2        0.28333333]DP1: 98.57 ;
[0.25 0.25 0.25 0.25]DP1: 98.74 ;
[0.23333333 0.25       0.3        0.21666667]DP1: 98.70 ;
[0.21666667 0.25       0.35       0.18333333]DP1: 99.08 ;
[0.2  0.25 0.4  0.15]DP1: 98.86 ;
[0.18333333 0.25       0.45       0.11666667]DP1: 98.78 ;
[0.16666667 0.25       0.5        0.08333333]DP1: 98.90 ;
[0.15 0.25 0.55 0.05]DP1: 98.97 ;
[0.13333333 0.25       0.6        0.01666667]DP1: 99.35 ;
[0.28333333 0.3        0.05       0.36666667]DP1: 98.08 ;
[0.26666667 0.3        0.1        0.33333333]DP1: 98.59 ;
[0.25 0.3  0.15 0.3 ]DP1: 98.50 ;
[0.23333333 0.3        0.2        0.26666667]DP1: 98.66 ;
[0.21666667 0.3        0.25       0.23333333]DP1: 98.71 ;
[0.2 0.3 0.3 0.2]DP1: 98.77 ;
[0.18333333 0.3        0.35       0.16666667]DP1: 98.74 ;
[0.16666667 0.3        0.4        0.13333333]DP1: 98.84 ;
[0.15 0.3  0.45 0.1 ]DP1: 98.88 ;
[0.13333333 0.3        0.5        0.06666667]DP1: 98.75 ;
[0.11666667 0.3        0.55       0.03333333]DP1: 98.92 ;
[0.25 0.35 0.05 0.35]DP1: 98.19 ;
[0.23333333 0.35       0.1        0.31666667]DP1: 98.47 ;
[0.21666667 0.35       0.15       0.28333333]DP1: 98.68 ;
[0.2  0.35 0.2  0.25]DP1: 98.57 ;
[0.18333333 0.35       0.25       0.21666667]DP1: 98.86 ;
[0.16666667 0.35       0.3        0.18333333]DP1: 98.89 ;
[0.15 0.35 0.35 0.15]DP1: 98.89 ;
[0.13333333 0.35       0.4        0.11666667]DP1: 98.94 ;
[0.11666667 0.35       0.45       0.08333333]DP1: 98.75 ;
[0.1  0.35 0.5  0.05]DP1: 98.66 ;
[0.08333333 0.35       0.55       0.01666667]DP1: 98.86 ;
[0.21666667 0.4        0.05       0.33333333]DP1: 98.01 ;
[0.2 0.4 0.1 0.3]DP1: 98.60 ;
[0.18333333 0.4        0.15       0.26666667]DP1: 98.65 ;
[0.16666667 0.4        0.2        0.23333333]DP1: 98.70 ;
[0.15 0.4  0.25 0.2 ]DP1: 99.03 ;
[0.13333333 0.4        0.3        0.16666667]DP1: 98.83 ;
[0.11666667 0.4        0.35       0.13333333]DP1: 98.87 ;
[0.1 0.4 0.4 0.1]DP1: 98.93 ;
[0.08333333 0.4        0.45       0.06666667]DP1: 98.48 ;
[0.06666667 0.4        0.5        0.03333333]DP1: 98.28 ;
[0.18333333 0.45       0.05       0.31666667]DP1: 98.41 ;
[0.16666667 0.45       0.1        0.28333333]DP1: 98.50 ;
[0.15 0.45 0.15 0.25]DP1: 98.84 ;
