Run Start Time: Sat Jan  4 08:50:32 2025
[0.75 0.05 0.05 0.15]	[81, 64.335]
[0.25 0.1  0.3  0.35]	[53, 74.29]
[0.25 0.4  0.25 0.1 ]	[66, 72.735]
[0.05 0.65 0.25 0.05]	[62, 71.72]
[0.55 0.05 0.1  0.3 ]	[64, 68.405]
[0.25 0.2  0.35 0.2 ]	[60, 74.91]
[0.1 0.1 0.4 0.4]	[47, 73.405]
[0.15 0.7  0.1  0.05]	[68, 69.465]
[0.45 0.25 0.25 0.05]	[72, 68.465]
[0.55 0.3  0.1  0.05]	[80, 66.525]
[0.1  0.2  0.55 0.15]	[52, 71.215]
[0.55 0.1  0.2  0.15]	[71, 68.9]
[0.05 0.3  0.6  0.05]	[55, 72.575]
[0.05 0.25 0.4  0.3 ]	[51, 75.9]
[0.3 0.2 0.1 0.4]	[56, 73.425]
[0.1  0.4  0.45 0.05]	[62, 75.965]
[0.1  0.65 0.1  0.15]	[64, 72.79]
[0.1  0.55 0.15 0.2 ]	[61, 74.175]
[0.05 0.05 0.5  0.4 ]	[42, 69.125]
[0.65 0.1  0.2  0.05]	[78, 63.72]
[0.55 0.05 0.35 0.05]	[69, 65.53]
[0.15 0.2  0.1  0.55]	[49, 75.885]
[0.2  0.15 0.3  0.35]	[54, 75.685]
[0.15 0.35 0.15 0.35]	[55, 73.765]
[0.15 0.4  0.35 0.1 ]	[63, 75.74]
[0.5  0.35 0.05 0.1 ]	[77, 67.715]
[0.15 0.1  0.6  0.15]	[48, 65.55]
[0.45 0.1  0.3  0.15]	[66, 70.065]
[0.6  0.1  0.15 0.15]	[73, 67.45]
[0.25 0.15 0.3  0.3 ]	[56, 74.735]
[0.25 0.2  0.4  0.15]	[60, 74.29]
[0.15 0.2  0.5  0.15]	[55, 72.27]
[0.05 0.2  0.15 0.6 ]	[46, 75.695]
[0.1  0.55 0.3  0.05]	[64, 73.32]
[0.15 0.6  0.15 0.1 ]	[65, 72.275]
[0.25 0.35 0.25 0.15]	[64, 73.52]
[0.35 0.4  0.2  0.05]	[72, 69.425]
[0.05 0.1  0.75 0.1 ]	[45, 65.85]
[0.2  0.2  0.15 0.45]	[51, 74.075]
[0.6  0.1  0.05 0.25]	[70, 67.1]
[0.15 0.3  0.5  0.05]	[61, 74.245]
[0.2 0.2 0.3 0.3]	[54, 73.92]
[0.25 0.5  0.1  0.15]	[66, 71.215]
[0.2  0.15 0.25 0.4 ]	[53, 75.61]
[0.3  0.2  0.45 0.05]	[63, 71.355]
[0.15 0.15 0.1  0.6 ]	[47, 75.38]
[0.1  0.25 0.15 0.5 ]	[49, 76.125]
[0.15 0.15 0.35 0.35]	[50, 73.015]
[0.45 0.25 0.2  0.1 ]	[71, 69.765]
[0.05 0.2  0.45 0.3 ]	[49, 74.66]
[0.2 0.3 0.3 0.2]	[60, 75.58]
[0.5  0.05 0.35 0.1 ]	[66, 67.22]
[0.25 0.4  0.15 0.2 ]	[64, 72.495]
[0.15 0.3  0.15 0.4 ]	[53, 75.68]
[0.2 0.2 0.5 0.1]	[59, 73.54]
[0.05 0.1  0.6  0.25]	[45, 69.18]
[0.7  0.05 0.1  0.15]	[77, 65.84]
[0.45 0.1  0.05 0.4 ]	[60, 71.565]
[0.05 0.35 0.2  0.4 ]	[52, 75.96]
[0.05 0.5  0.35 0.1 ]	[60, 75.83]
[0.25 0.25 0.25 0.25]	[59, 73.3]
[0.5  0.1  0.05 0.35]	[63, 70.99]
[0.05 0.7  0.2  0.05]	[62, 70.055]
[0.2  0.45 0.1  0.25]	[62, 74.405]
[0.4  0.15 0.25 0.2 ]	[63, 71.785]
[0.15 0.15 0.6  0.1 ]	[53, 71.265]
[0.15 0.1  0.05 0.7 ]	[44, 73.44]
[0.05 0.2  0.65 0.1 ]	[49, 69.84]
[0.15 0.05 0.3  0.5 ]	[47, 74.93]
[0.15 0.3  0.3  0.25]	[56, 75.21]
[0.6  0.2  0.15 0.05]	[81, 65.99]
[0.4  0.15 0.4  0.05]	[65, 68.72]
[0.5 0.2 0.2 0.1]	[73, 68.735]
[0.05 0.6  0.2  0.15]	[61, 74.225]
[0.1  0.1  0.25 0.55]	[46, 74.74]
[0.45 0.1  0.4  0.05]	[65, 67.07]
[0.05 0.45 0.1  0.4 ]	[53, 75.985]
[0.1  0.05 0.25 0.6 ]	[44, 74.915]
[0.05 0.1  0.5  0.35]	[44, 70.51]
[0.75 0.05 0.15 0.05]	[81, 60.13499999999999]
[0.4  0.4  0.15 0.05]	[75, 69.745]
[0.3  0.15 0.2  0.35]	[56, 73.685]
[0.25 0.15 0.55 0.05]	[58, 70.065]
[0.05 0.05 0.35 0.55]	[42, 72.155]
[0.1  0.05 0.4  0.45]	[44, 71.525]
[0.5  0.2  0.25 0.05]	[73, 67.865]
[0.55 0.05 0.2  0.2 ]	[69, 71.105]
[0.2  0.15 0.2  0.45]	[51, 74.815]
[0.15 0.5  0.05 0.3 ]	[59, 73.32]
[0.1  0.15 0.45 0.3 ]	[49, 73.26]
[0.6  0.15 0.15 0.1 ]	[76, 66.56]
[0.2  0.25 0.05 0.5 ]	[50, 71.455]
[0.2  0.25 0.25 0.3 ]	[57, 74.99]
[0.35 0.25 0.35 0.05]	[68, 70.63]
[0.15 0.05 0.4  0.4 ]	[46, 69.93]
[0.25 0.35 0.35 0.05]	[66, 72.28]
[0.05 0.45 0.25 0.25]	[56, 76.77]
[0.65 0.15 0.05 0.15]	[78, 66.44]
[0.1  0.6  0.25 0.05]	[64, 71.94]
[0.15 0.4  0.05 0.4 ]	[54, 73.485]
