Run Start Time: Fri Jan  3 22:13:16 2025
[0.75 0.05 0.05 0.15]	[77, 61.86000000000001]
[0.25 0.1  0.3  0.35]	[53, 73.665]
[0.25 0.4  0.25 0.1 ]	[63, 69.895]
[0.05 0.65 0.25 0.05]	[62, 71.91]
[0.55 0.05 0.1  0.3 ]	[63, 67.865]
[0.25 0.2  0.35 0.2 ]	[57, 71.46]
[0.1 0.1 0.4 0.4]	[49, 76.135]
[0.15 0.7  0.1  0.05]	[68, 69.32]
[0.45 0.25 0.25 0.05]	[70, 66.015]
[0.55 0.3  0.1  0.05]	[77, 63.739999999999995]
[0.1  0.2  0.55 0.15]	[54, 75.265]
[0.55 0.1  0.2  0.15]	[68, 66.035]
[0.05 0.3  0.6  0.05]	[56, 74.71]
[0.05 0.25 0.4  0.3 ]	[51, 76.105]
[0.3 0.2 0.1 0.4]	[56, 72.96]
[0.1  0.4  0.45 0.05]	[59, 71.92]
[0.1  0.65 0.1  0.15]	[61, 70.05]
[0.1  0.55 0.15 0.2 ]	[59, 72.12]
[0.05 0.05 0.5  0.4 ]	[48, 77.445]
[0.65 0.1  0.2  0.05]	[77, 63.36999999999999]
[0.55 0.05 0.35 0.05]	[69, 66.37]
[0.15 0.2  0.1  0.55]	[50, 75.565]
[0.2  0.15 0.3  0.35]	[53, 74.875]
[0.15 0.35 0.15 0.35]	[54, 74.1]
[0.15 0.4  0.35 0.1 ]	[60, 72.55]
[0.5  0.35 0.05 0.1 ]	[75, 65.1]
[0.15 0.1  0.6  0.15]	[54, 74.935]
[0.45 0.1  0.3  0.15]	[63, 68.33]
[0.6  0.1  0.15 0.15]	[70, 64.625]
[0.25 0.15 0.3  0.3 ]	[55, 72.55]
[0.25 0.2  0.4  0.15]	[59, 71.88]
[0.15 0.2  0.5  0.15]	[55, 72.345]
[0.05 0.2  0.15 0.6 ]	[47, 78.375]
[0.1  0.55 0.3  0.05]	[61, 70.575]
[0.15 0.6  0.15 0.1 ]	[64, 69.845]
[0.25 0.35 0.25 0.15]	[61, 69.96]
[0.35 0.4  0.2  0.05]	[69, 67.825]
[0.05 0.1  0.75 0.1 ]	[52, 75.265]
[0.2  0.2  0.15 0.45]	[52, 73.49]
[0.6  0.1  0.05 0.25]	[68, 66.22]
[0.15 0.3  0.5  0.05]	[59, 72.015]
[0.2 0.2 0.3 0.3]	[54, 73.58]
[0.25 0.5  0.1  0.15]	[65, 69.74]
[0.2  0.15 0.25 0.4 ]	[52, 74.21]
[0.3  0.2  0.45 0.05]	[63, 70.785]
[0.15 0.15 0.1  0.6 ]	[48, 75.41]
[0.1  0.25 0.15 0.5 ]	[49, 75.63]
[0.15 0.15 0.35 0.35]	[52, 74.34]
[0.45 0.25 0.2  0.1 ]	[69, 67.415]
[0.05 0.2  0.45 0.3 ]	[51, 76.995]
[0.2 0.3 0.3 0.2]	[58, 73.0]
[0.5  0.05 0.35 0.1 ]	[66, 67.06]
[0.25 0.4  0.15 0.2 ]	[61, 70.2]
[0.15 0.3  0.15 0.4 ]	[53, 74.715]
[0.2 0.2 0.5 0.1]	[58, 72.53]
[0.05 0.1  0.6  0.25]	[50, 75.675]
[0.7  0.05 0.1  0.15]	[73, 63.095]
[0.45 0.1  0.05 0.4 ]	[59, 70.235]
[0.05 0.35 0.2  0.4 ]	[51, 76.055]
[0.05 0.5  0.35 0.1 ]	[58, 73.155]
[0.25 0.25 0.25 0.25]	[57, 71.46]
[0.5  0.1  0.05 0.35]	[61, 68.6]
[0.05 0.7  0.2  0.05]	[63, 71.28]
[0.2  0.45 0.1  0.25]	[59, 70.7]
[0.4  0.15 0.25 0.2 ]	[62, 69.94]
[0.15 0.15 0.6  0.1 ]	[55, 72.85]
[0.15 0.1  0.05 0.7 ]	[47, 77.93]
[0.05 0.2  0.65 0.1 ]	[53, 75.11]
[0.15 0.05 0.3  0.5 ]	[48, 74.845]
[0.15 0.3  0.3  0.25]	[55, 73.035]
[0.6  0.2  0.15 0.05]	[77, 63.5]
[0.4  0.15 0.4  0.05]	[66, 68.365]
[0.5 0.2 0.2 0.1]	[70, 66.6]
[0.05 0.6  0.2  0.15]	[59, 71.88]
[0.1  0.1  0.25 0.55]	[47, 77.215]
[0.45 0.1  0.4  0.05]	[67, 68.855]
[0.05 0.45 0.1  0.4 ]	[53, 75.7]
[0.1  0.05 0.25 0.6 ]	[46, 76.82]
[0.05 0.1  0.5  0.35]	[49, 77.77]
[0.75 0.05 0.15 0.05]	[81, 60.425]
[0.4  0.4  0.15 0.05]	[72, 65.975]
[0.3  0.15 0.2  0.35]	[55, 71.58]
[0.25 0.15 0.55 0.05]	[60, 72.21]
[0.05 0.05 0.35 0.55]	[46, 78.07]
[0.1  0.05 0.4  0.45]	[48, 76.445]
[0.5  0.2  0.25 0.05]	[72, 65.39]
[0.55 0.05 0.2  0.2 ]	[66, 66.895]
[0.2  0.15 0.2  0.45]	[52, 74.335]
[0.15 0.5  0.05 0.3 ]	[57, 71.305]
[0.1  0.15 0.45 0.3 ]	[51, 76.31]
[0.6  0.15 0.15 0.1 ]	[72, 63.690000000000005]
[0.2  0.25 0.05 0.5 ]	[51, 72.94]
[0.2  0.25 0.25 0.3 ]	[56, 74.34]
[0.35 0.25 0.35 0.05]	[66, 68.475]
[0.15 0.05 0.4  0.4 ]	[50, 75.64]
[0.25 0.35 0.35 0.05]	[64, 69.695]
[0.05 0.45 0.25 0.25]	[55, 73.665]
[0.65 0.15 0.05 0.15]	[74, 62.54500000000001]
[0.1  0.6  0.25 0.05]	[63, 71.28]
[0.15 0.4  0.05 0.4 ]	[54, 73.28]
