Run Start Time: Sun Dec 29 21:48:14 2024
[0.2  0.25 0.25 0.3 ]	[55, 72.4]
[0.15 0.15 0.5  0.2 ]	[53, 74.005]
[0.15 0.05 0.5  0.3 ]	[51, 76.18]
[0.05 0.1  0.3  0.55]	[45, 76.91]
[0.55 0.1  0.1  0.25]	[65, 67.015]
[0.3 0.1 0.3 0.3]	[55, 71.5]
[0.5  0.15 0.15 0.2 ]	[65, 67.34]
[0.1  0.15 0.7  0.05]	[54, 73.29]
[0.1 0.2 0.5 0.2]	[53, 75.0]
[0.75 0.1  0.1  0.05]	[83, 60.22]
[0.45 0.15 0.35 0.05]	[67, 67.605]
[0.55 0.05 0.15 0.25]	[65, 67.615]
[0.15 0.4  0.1  0.35]	[54, 72.6]
[0.35 0.2  0.3  0.15]	[62, 70.45]
[0.2  0.1  0.25 0.45]	[50, 73.61]
[0.35 0.2  0.3  0.15]	[61, 68.795]
[0.05 0.05 0.1  0.8 ]	[42, 77.455]
[0.05 0.2  0.1  0.65]	[45, 76.365]
[0.2  0.45 0.15 0.2 ]	[60, 71.005]
[0.45 0.2  0.15 0.2 ]	[64, 67.53]
[0.4  0.05 0.5  0.05]	[62, 69.02]
[0.05 0.3  0.2  0.45]	[50, 75.87]
[0.45 0.35 0.05 0.15]	[69, 66.355]
[0.3  0.1  0.15 0.45]	[53, 73.495]
[0.55 0.05 0.2  0.2 ]	[66, 66.88]
[0.3  0.1  0.05 0.55]	[51, 73.31]
[0.1  0.15 0.15 0.6 ]	[46, 75.05]
[0.35 0.15 0.2  0.3 ]	[58, 71.545]
[0.15 0.3  0.3  0.25]	[55, 72.35]
[0.1  0.45 0.3  0.15]	[58, 73.145]
[0.25 0.2  0.4  0.15]	[58, 71.96]
[0.2  0.05 0.15 0.6 ]	[47, 74.91]
[0.2  0.05 0.1  0.65]	[46, 73.27]
[0.45 0.1  0.4  0.05]	[66, 66.7]
[0.1  0.05 0.3  0.55]	[46, 74.92]
[0.2  0.05 0.25 0.5 ]	[49, 75.3]
[0.25 0.35 0.35 0.05]	[63, 69.595]
[0.4  0.05 0.35 0.2 ]	[60, 70.41]
[0.3 0.2 0.1 0.4]	[55, 71.565]
[0.5  0.05 0.2  0.25]	[62, 68.385]
[0.15 0.4  0.3  0.15]	[58, 72.065]
[0.5 0.1 0.3 0.1]	[68, 67.19]
[0.05 0.3  0.15 0.5 ]	[48, 74.025]
[0.4  0.1  0.25 0.25]	[60, 70.625]
[0.15 0.4  0.15 0.3 ]	[56, 73.14]
[0.2 0.3 0.2 0.3]	[55, 71.135]
[0.3  0.15 0.3  0.25]	[58, 72.34]
[0.2  0.2  0.25 0.35]	[54, 74.61]
[0.25 0.5  0.15 0.1 ]	[66, 68.605]
[0.6 0.1 0.1 0.2]	[69, 65.57]
[0.4  0.4  0.15 0.05]	[71, 66.27]
[0.05 0.3  0.35 0.3 ]	[52, 74.865]
[0.25 0.15 0.2  0.4 ]	[53, 74.1]
[0.1  0.15 0.25 0.5 ]	[47, 75.8]
[0.1 0.4 0.2 0.3]	[54, 73.44]
[0.2  0.15 0.1  0.55]	[49, 74.545]
[0.4  0.35 0.2  0.05]	[70, 66.24]
[0.05 0.05 0.5  0.4 ]	[47, 77.215]
[0.15 0.15 0.3  0.4 ]	[50, 73.89]
[0 0.45 0.3 0.25]	[54, 75.725]
[0.05 0.2  0.5  0.25]	[52, 75.965]
[0.45 0.05 0.05 0.45]	[56, 71.38]
[0.3  0.55 0.1  0.05]	[71, 67.35]
[0.05 0.7  0.1  0.15]	[61, 71.61]
[0.1  0.3  0.35 0.25]	[54, 74.815]
[0.05 0.25 0.15 0.55]	[47, 75.965]
[0.25 0.25 0.1  0.4 ]	[54, 72.5]
[0.4  0.05 0.1  0.45]	[56, 73.285]
[0.25 0.1  0.6  0.05]	[58, 71.435]
[0.2  0.55 0.15 0.1 ]	[65, 70.36]
[0.05 0.35 0.3  0.3 ]	[52, 73.805]
[0.1  0.5  0.25 0.15]	[59, 71.89]
[0.25 0.1  0.35 0.3 ]	[54, 73.195]
[0.15 0.05 0.4  0.4 ]	[50, 75.885]
[0.8  0.05 0.1  0.05]	[84, 59.21]
[0.05 0.05 0.65 0.25]	[49, 76.985]
[0.4  0.25 0.05 0.3 ]	[61, 68.1]
[0.1  0.35 0.25 0.3 ]	[54, 75.09]
[0.6  0.05 0.2  0.15]	[69, 65.1]
[0.15 0.35 0.2  0.3 ]	[55, 72.505]
[0.15 0.45 0.25 0.15]	[59, 70.915]
[0.25 0.15 0.2  0.4 ]	[53, 73.895]
[0.5  0.05 0.1  0.35]	[59, 68.215]
[0.05 0.25 0.3  0.4 ]	[50, 75.99]
[0.15 0.25 0.15 0.45]	[52, 74.275]
[0.35 0.2  0.4  0.05]	[64, 68.075]
[0.45 0.3  0.15 0.1 ]	[70, 66.385]
[0.35 0.1  0.25 0.3 ]	[58, 72.11]
[0.25 0.35 0.1  0.3 ]	[58, 71.925]
[0.75 0.05 0.05 0.15]	[78, 62.0]
[0.6  0.2  0.05 0.15]	[74, 63.2]
[0.1  0.25 0.2  0.45]	[50, 74.615]
[0.4  0.05 0.35 0.2 ]	[59, 69.27]
[0.1 0.2 0.5 0.2]	[53, 74.63]
[0.3  0.3  0.35 0.05]	[65, 70.115]
[0.6  0.25 0.1  0.05]	[78, 62.22]
[0.15 0.55 0.2  0.1 ]	[62, 70.135]
[0.05 0.3  0.4  0.25]	[53, 75.83]
[0.55 0.05 0.1  0.3 ]	[63, 68.545]
[0.4  0.15 0.2  0.25]	[59, 67.675]
[0.05 0.3  0.05 0.6 ]	[47, 76.375]
[0.4  0.25 0.1  0.25]	[63, 69.07]
[0.4  0.25 0.3  0.05]	[68, 67.18]
[0.7  0.1  0.15 0.05]	[80, 61.98]
[0.1  0.1  0.25 0.55]	[47, 76.735]
[0.3  0.2  0.45 0.05]	[62, 70.06]
[0.25 0.3  0.4  0.05]	[62, 70.81]
[0.55 0.05 0.25 0.15]	[67, 66.655]
[0.1 0.4 0.1 0.4]	[53, 74.3]
[0.05 0.55 0.2  0.2 ]	[57, 71.935]
[0.15 0.2  0.15 0.5 ]	[50, 74.735]
[0.05 0.05 0.5  0.4 ]	[47, 77.2]
[0.7  0.05 0.05 0.2 ]	[72, 62.72]
